ID,final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group,gamer?,game days / week,team frequency,top 5 games,games essay,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,"7017235: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335381: I am a gamer.,7335382: How many days per week do you game?,7335383: How often do you game in a team?,"7335384: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335385: Does your gaming make you a better team player? How?
79,96,True,5.0,Half of the time,"Rocket League,Apex Legends,Call of Duty,Minecraft,Rogue Company","My gaming makes me a better team player, because I almost always play games with a team. It has taught me that in order to be successful in a team environment communication is the #1 factor. Without communication your team will fall apart and lose. Sure you can still win with out communication, but it is 100 times easier if you have communication.",,High Frequency,,,,,,,,,,,,,,
80,96,True,7.0,Most of the time,"World of Warcraft,League of Legends,Minecraft,Terraria,Skyrim","Yes, because in League of Legends, you have to be a team player to actually do well in the game, if you don't understand proper teamwork, you will likely get stomped by the enemy team",,High Frequency,,,,,,,,,,,,,,
81,96,True,7.0,Some of the time,"World of Tanks,Battle Brothers,Diablo II ,Stellaris ,Path of Exile","I think so.

Not listed, but League of Legends is probably more most played game (hours wise), clocking in at somewhere around 2,000+ combined hours. I played that game's ranked ladder extensively, climbing up to some of the higher tiers on the server. The game is entirely a team based game. You cannot play it alone and you cannot win alone. I played support classes and tended to focus primarily on keeping my team focused and working together, rather than trying to win by just being personally better or outplaying my opponents. People online can be... Well, difficult to get working together sometimes, but it was always my goal to reduce player toxicity and build team cohesion on the fly for every match.",,High Frequency,,,,,,,,,,,,,,
82,96,True,4.0,Half of the time,"Fortnite,Rocket League,Call Of Duty,Warzone,Fall Guys",When I am gaming with people I know it does make me a better team player. But when I am gaming with random people i match with it depends on how they act. ,,High Frequency,,,,,,,,,,,,,,
83,96,True,3.0,Some of the time,"Fortnite,Witcher 3,Battle for Middle Earth 2,Zelda\, Breath of the Wild,Skyrim",No.,,Low Frequency,,,,,,,,,,,,,,
84,96,True,3.0,Some of the time,"Hearthstone,Contractors VR,Monster Hunter ,Beatsaber VR,Table Tennis VR","In strategy games such as competitive FPS or RTS’s, there is insentive to be a good communicator. These games can teach you to work with others to accomplish a common goal. However, most online gaming I have done involve teaming up with random strangers. In this case it can be hard or impossible to work together and it’s often best to mute everyone’s mic and focus on your own strategy. ",,Low Frequency,,,,,,,,,,,,,,
85,97,True,1.0,Most of the time,"Terraria,League of Legends,Don't Starve Together,,","While I believe that team gaming requires extensive communication and teamwork skills, I do not believe gaming was responsible for fostering my abilities in those areas. Instead, the tendencies I already had towards communication and teamwork made gaming more involved and more fun. However, I do believe there are plenty of people for which gaming has helped develop teamwork skills.",,Low Frequency,,,,,,,,,,,,,,
86,97,True,7.0,Most of the time,"Destiny 2,League of Legends,Hades,Project Winter,Deep Rock Galactic","Absolutely! I main support in League of Legends, and the main responsibilities of the support role are to protect another player that you are laning with (and eventually the rest of the team as the game progresses) and to provide vision information to the rest of the team. You have to be able to quickly communicate information with other players that are not always seeing what is happening across the map, and you have to be able to work together with your lane partner to successfully survive attacks and farm gold. I focus on letting the team know how long until certain objectives spawn so we can plan a team attack, I grant vision so we can see enemies in fog of war and avoid (or prepare for) attacks, and I keep teammates alive during team fights. I may not do a lot of damage, but I save a lot of people. Support makes you focus on team needs throughout the game.",,High Frequency,,,,,,,,,,,,,,
87,97,True,3.0,Some of the time,"Arizona Sunshine (vr),Tribe XR (vr),Elven Assassin (vr),Luigi's Haunted Mansion (Game cube),Rival Schools (Playstation)","I believe that working in a group, in any regard, lends to better team players. I have participated in a few team sports and other competitive group activities that groomed us in becoming more equipped to work with others. ",,Low Frequency,,,,,,,,,,,,,,
88,98,True,1.0,Some of the time,",Mario Kart,,,","Not really these days, because my kids usually want to play against me. But years ago I would play a game called Unreal Tournament and the gametype my team played was Capture the Flag and that certainly made me a better team player. We had to get to know what position everyone felt most comfortable being to help our team succeed and it was a lot of fun doing that and seeing how things played out against other clans (teams).",,Low Frequency,,,,,,,,,,,,,,
89,98,True,1.0,Some of the time,"Super Smash Bros.,Chess,Pokemon BD,Rocket League,Rainbow Six Siege","Yes gaming has made me a better team player. I played more team based games when I was younger. I quickly learned that the team that communicated, worked together, and put their differences aside to focus on the objective was almost always the team that won.",,Low Frequency,,,,,,,,,,,,,,
90,98,True,7.0,Most of the time,"Terraria,League of Legends,Stardew Valley,Hollow Knight,Dark Souls III","Absolutely, League of Legends, the game I play the most, is a 5v5 team game. I have to work with my team extensively if I want to win. I have to set aside the differences in playstyle between me and my teammates and do what gives us the best odds of winning.",,High Frequency,,,,,,,,,,,,,,
91,98,True,3.0,Half of the time,"Spiderman PS4,Minecraft,Super Smash bros,Valorant,breath of the wild",Gaming with a team allows the players the opportunity to understand how each team member communicates. Some team members yell and some give helpful hints. Sometimes the best way to see a team members behavior is through putting them in a safe but stressful situation like a video game.,,Low Frequency,,,,,,,,,,,,,,
92,98,True,5.0,Most of the time,"Legion Tower Defense 2,Rocket League,Rust,Halo,World of Warcraft","Gaming makes me a better team player as it puts players with other players (some who they have no idea who they are) and forces them to work together towards a goal. This helps create leadership skills and team cohesion. Some games require certain members of the team to perform certain tasks in order for the group to succeed. This resembles development teams in the field, as each member of the team will be assigned a specific role depending on their strengths in order to allow the team to succeed.",,High Frequency,,,,,,,,,,,,,,
93,98,True,0.0,Some of the time,"League of Legends,Minecraft,PUBG,Age of Empire II,Dungeon Defenders",Yes,,Low Frequency,,,,,,,,,,,,,,
94,98,True,3.0,Some of the time,"Fallout 3,Minecraft,Skyrim,Fallout 4,Metro 2033","No, it makes it easy to blame other people cause you'll likely only see them once.",,Low Frequency,,,,,,,,,,,,,,
95,98,True,2.0,Some of the time,"Satisfactory,Destiny 2,Sea of Thieves,Omori,VRChat","I think so, especially in multiplayer games. It strengthens communication and strategy to accomplish a task. Specifically in Satisfactory, it takes a decent amount of coordination to ensure that factories are properly setup, efficient, and operational so that they are easy to follow in case we need to revise or revisit them. I have actually attributed this game to the coding habits ive been learning. I could throw down tons of machinery everywhere with connections flying all around the map and make it messy, but when I need to revise production lines to make new products, its more difficult to edit. Its easier to do it right and neat the first time. ",,Low Frequency,,,,,,,,,,,,,,
